Customer Tier,Project Type,Category,Products/Devices,Quantity,Individual Hardware Revenue,Hardware Revenue,Hardware COGS,Labor Hours,Labor Revenue,Notes,Unnamed: 11
Enthusiast,New Home Build,Infrastructure (Water),"Z-Wave water leak sensors (6); Whole-home automatic water shutoff valve (1, e.g. Fortrezz ZigBee or Flo by Moen); Sump pump with smart sensor (1) or floor drain moisture sensor (1); Temperature sensors (2)",,,1050.0,787.5,4.8,600.0,"Leak: $40x6 ($240), Valve: $500 (Moen), Pump: $250 (Amazon), Temp: $30x2 ($60). Assumes Flo by Moen for valve.","Setup of leak sensors, shutoff valve, sump pump, and temperature sensors."
Enthusiast,New Home Build,Lighting & Controls,Lutron RadioRA 3: Main Repeater/Processor (1); Hybrid Keypads (3); Smart dimmers/switches (~25); Motion sensors (4); LED strip (1) with Zwave controller,,,2650.0,2120.0,24.0,3000.0,"Repeater: $400, Keypads: $150x3 ($450), Dimmers: $70x25 ($1,750), Motion: $25x4 ($100), Strip+Controller: $50 (Lutron/Amazon).","Installation and programming of Lutron lighting control system, including dimmers and sensors."
Enthusiast,New Home Build,Lighting & Controls,Lutron Caseta: Switches/Dimmers,84.0,59.0,4956.0,3964.8,42.0,5250.0,,
Enthusiast,New Home Build,Lighting & Controls,Keypads: ,6.0,130.0,780.0,624.0,6.0,750.0,,
Enthusiast,New Home Build,Lighting & Controls,Presence Detection,10.0,40.0,400.0,320.0,10.0,1250.0,,
Enthusiast,New Home Build,Climate Control,2 HVAC systems with Ecobee Premium thermostats (2); Ecobee Remote Sensors (4); Optional: Smart vents (4); Ceiling fans (2) with smart controllers,,,1080.0,918.0,4.8,600.0,"Thermostats: $250x2 ($500), Sensors: $40x4 ($160), Vents: $80x4 ($320), Fans+Controllers: $50x2 ($100, Ecobee/Amazon).","Setup of smart thermostats, remote sensors, and optional smart vents."
Enthusiast,New Home Build,Blinds & Windows,"Motorized roller shades (6) – Lutron Serena or Triathlon; Custom motorized drapery track (1, Somfy RTS motor); Skylight opener (1, Velux solar skylight with automation kit)",,,2500.0,2000.0,9.6,1200.0,"Shades: $300x6 ($1,800, Lutron), Drapery: $400 (Somfy), Skylight: $300 (Velux). Prices vary by window size.","Installation of motorized shades, drapery track, and skylight opener."
Enthusiast,New Home Build,Smart Irrigation,Rachio 3 16-zone controller (1); soil moisture sensors (3); integrated drip irrigation zones,,,450.0,373.5,4.8,600.0,"Rachio: $250 (Rachio Store), Sensors: $50x3 ($150, Amazon), Drip assumed included in controller setup.",Setup of smart irrigation controller and soil moisture sensors.
Enthusiast,New Home Build,Entertainment (TV/Theater),"zidoo Z3000 PRO-8K Media Player, Amlogic S928X-K Processor 6G+64G,8K Android 11os, Support DV,HDR10+ and All HDR Technoly,BDMV",1.0,679.0,679.0,509.25,6.0,750.0,,
Enthusiast,Renovation,Entertainment (TV/Theater),"zidoo Z3000 PRO-8K Media Player, Amlogic S928X-K Processor 6G+64G,8K Android 11os, Support DV,HDR10+ and All HDR Technoly,BDMV",1.0,679.0,679.0,509.25,6.0,750.0,,
Enthusiast,Renovation,Low-Voltage Wiring,Cat6 runs (8) in open-wall areas,,,60.0,49.8,12.0,1500.0,Estimated at $0.15/ft for 400 ft total; assumes 50 ft per run.,Assumes 12 hours for running and terminating cables at $125/hour
Enthusiast,Renovation,Networking & Wi-Fi,"Ubiquiti UniFi Dream Machine (1); UniFi Switch Lite 16 PoE (1); UniFi Wi-Fi 6 APs (2 U6-LR indoor, 1 U6-Mesh outdoor)",,,1035.0,859.05,5.0,625.0,"UDM $299, Switch $199, 2 U6-LR $358, U6-Mesh $179; ensures robust coverage.",Assumes 5 hours for setup and configuration at $125/hour
Enthusiast,Renovation,Multi-Room Audio,Existing wired speakers (if any) + Sonos Amp (2); Sonos Move (1) for portable audio,,,600.0,498.0,3.0,375.0,"2 Sonos Amps at $200 each, Sonos Move at $200; existing speakers not priced.",Assumes 3 hours for installing amps and portable audio at $125/hour
Enthusiast,Renovation,Entertainment (TV/Theater),"75″ OLED TV (1); AV receiver (Denon AVR-S960H, 1); 5.1 speaker setup; 2 additional TVs (55″, 43″)",,,5500.0,4125.0,6.0,750.0,"OLED TV $2,500, AV receiver $1,100, 5.1 setup $800, 55″ TV $700, 43″ TV $400; comprehensive home theater.","Assumes 6 hours for installing TVs, receiver, and speakers at $125/hour"
Enthusiast,Renovation,Security System (Alarm),Konnected Alarm Panel (1) for existing wired sensors; Wireless Z-Wave sensors (4),,,450.0,373.5,4.0,500.0,"Panel at $250, 4 sensors at $50 each; integrates with smart home systems.",Assumes 4 hours for installing panel and sensors at $125/hour
Enthusiast,Renovation,Surveillance Cameras,UniFi G4 Doorbell (1); G4 Bullet cams (3); UniFi Protect NVR on UDM,,,800.0,664.0,3.0,375.0,"Doorbell $200, 3 Bullet cams at $200 each; NVR included in UDM.",Assumes 3 hours for installing doorbell and cameras at $125/hour
Enthusiast,Renovation,Access Control,Smart Locks (2) – Kwikset Halo; MyQ Garage Door Opener (1); DoorBird D101 (1),,,875.0,726.25,4.0,500.0,"2 smart locks at $250 each, MyQ opener $75, DoorBird D101 $300; enhances security.","Assumes 4 hours for installing locks, opener, and DoorBird at $125/hour"
Enthusiast,Renovation,Air Quality & Ventilation,"ERV retro-wiring (1, e.g. Broan AI); Air quality sensors (3, AirThings Wave Plus)",,,650.0,539.5,5.0,625.0,"ERV at $500, 3 sensors at $50 each; improves indoor air quality.",Assumes 5 hours for installing ERV and sensors at $125/hour
Enthusiast,Renovation,Safety (Smoke/CO),Smart smoke/CO alarms (3),,,300.0,249.0,2.0,250.0,3 alarms at $100 each; ensures safety with smart alerts.,Assumes 2 hours for installing 3 alarms at $125/hour
Enthusiast,Renovation,Infrastructure (Water),Water leak sensors (4); Moen Flo shutoff valve (1),,,400.0,300.0,3.0,375.0,"4 sensors at $50 each, shutoff valve at $200; prevents water damage.",Assumes 3 hours for installing sensors and valve at $125/hour
Enthusiast,Renovation,Lighting & Controls,Lutron RadioRA 3: Main Repeater (1); Dimmers/switches (15); Keypads (2),,,3475.0,2780.0,8.0,1000.0,"Repeater $250, 15 dimmers/switches at $175 each, 2 keypads at $300 each; comprehensive control.","Assumes 8 hours for installing repeater, dimmers, and keypads at $125/hour"
Enthusiast,Renovation,Climate Control (HVAC),Ecobee Lite Smart Thermostat (1); Remote sensors (2); Smart vents (2),,,450.0,373.5,3.0,375.0,"Thermostat $150, 2 sensors at $50 each, 2 vents at $100 each; enhances comfort and efficiency.","Assumes 3 hours for installing thermostat, sensors, and vents at $125/hour"
Enthusiast,Renovation,Blinds & Windows,Lutron Serena shades (4); Somfy RTS drapery (1),,,1200.0,960.0,4.0,500.0,"4 shades at $250 each, drapery at $200; automates window treatments.",Assumes 4 hours for installing shades and drapery at $125/hour
Enthusiast,Renovation,Smart Irrigation,RainMachine Pro-16 (1); Soil sensors (2),,,400.0,332.0,3.0,375.0,"Controller at $300, 2 sensors at $50 each; optimizes watering.",Assumes 3 hours for installing controller and sensors at $125/hour
Enthusiast,Smaller Improvement,Home Assistant Hub,Home Assistant Yellow (1) or NUC mini-PC (1),,,160.0,132.8,1.5,187.5,Home Assistant Yellow chosen for cost efficiency and compatibility with Home Assistant,1.5 hours at $125/hour
Enthusiast,Smaller Improvement,Low-Voltage Wiring,Optional: Cat6 to one new AP or camera (1),,,7.5,6.225,2.5,312.5,"50 ft of Cat6 cable at $0.15/ft, assumes 50 ft run for one AP or camera",2.5 hours at $125/hour for wiring to one AP or camera
Enthusiast,Smaller Improvement,Networking & Wi-Fi,UniFi Dream Machine SE (1); UniFi U6-Lite AP (1),,,298.0,247.34,4.0,500.0,"UniFi Dream Machine SE at $199, UniFi U6-Lite AP at $99",4 hours at $125/hour for installing Dream Machine SE and one AP
Enthusiast,Smaller Improvement,Multi-Room Audio,Sonos Era 100 (2),,,498.0,413.34,2.5,312.5,Two Sonos Era 100 speakers at $249 each; supports Wi-Fi and Bluetooth,2.5 hours at $125/hour for two speakers
